182.99	306.54
210.77	294.84
251.72	293.37
307.3	290.45
349.71	281.67
384.81	281.67
231.25	322.62
340.93	310.92
275.12	312.39
254.65	391.36
283.9	408.91
326.31	388.44
245.87	436.7
291.21	429.38
349.71	429.38
324.85	454.25
295.6	461.56
270.74	461.56
169.83	335.79
181.53	253.89
197.61	186.61
260.5	204.16
326.31	183.69
389.2	242.19
440.38	310.92
444.77	373.81
434.53	448.4
339.47	527.37
272.2	528.83
191.76	439.62
187.38	416.22
181.53	403.06
180.06	388.44
171.29	343.1
134.73	250.96
150.81	133.97
206.39	72.54
324.85	53.53
402.36	71.08
459.4	148.59
478.41	264.13
481.33	274.36
479.87	337.25
456.47	369.42
32.35	590.26
241.49	505.43
310.22	629.74
452.08	417.68
617.34	536.15
0.0	0.0
311.5	0.0
623	0.0
623	397.5
623	795
311.5	795
0.0	795
0.0	397.5
0.0	0.0
311.5	0.0
623	0.0
623	397.5
623	795
311.5	795
0.0	795
0.0	397.5
