218.09	245.39
241.49	221.99
273.66	216.14
326.31	216.14
361.41	219.06
384.81	236.61
259.04	243.92
349.71	236.61
298.52	233.69
275.12	300.96
302.91	306.81
342.4	293.65
259.04	334.6
307.3	330.21
362.87	325.82
333.62	353.61
310.22	358.0
278.05	355.07
200.54	267.32
210.77	241.0
204.93	143.01
283.9	122.54
343.86	87.44
405.28	226.38
422.83	254.16
425.76	327.29
409.67	371.16
345.32	410.65
279.51	417.96
222.47	369.7
212.24	337.52
204.93	338.99
188.84	296.57
181.53	242.46
175.68	185.43
182.99	138.63
218.09	81.59
339.47	66.97
387.73	104.99
446.23	169.34
447.7	223.45
453.55	227.84
446.23	273.17
433.07	327.29
26.5	537.88
244.41	425.27
313.15	507.17
412.6	400.41
620.27	494.01
0.0	0.0
311.5	0.0
623	0.0
623	397.5
623	795
311.5	795
0.0	795
0.0	397.5
0.0	0.0
311.5	0.0
623	0.0
623	397.5
623	795
311.5	795
0.0	795
0.0	397.5
